4,2,2,0,0,0,0,1211011,0,0,0,0,0,0,0,0,0,0
4,2,2,0,0,0,0,1012011,0,0,0,0,0,185,77,77,0,0
6,2,4,1.024,0.066,0.07,0,1211011,1.67,0.22,0.22,0,0,0,0,0,0,0
10,4,6,1.14,0.063,0.066,0.23,1211011,8.28,0.94,0.94,0,0,0,0,0,0,0
10,4,6,1.14,0.063,0.066,0.23,1012011,0,0,0,3.4,1.4,93,26,26,1.1,0.4
12,4,8,0.88,0.213,0.128,0,1211011,4.9,2.7,1.3,0,0,0,0,0,0,0
10,6,4,0.83,0.069,0.062,0.253,1211011,10,1.56,1.56,0,0,0,0,0,0,0
12,6,6,0.582,0.025,0.024,0.2,1211011,4.87,0.4,0.4,0,0,0,0,0,0,0
12,6,6,0.582,0.025,0.024,0.2,1012011,0,0,0,2.8,0.4,500,81,81,2.4,0.4
14,6,8,0.36,0.024,0.024,0.137,1211011,1.87,0.25,0.25,0,0,0,0,0,0,0
14,6,8,0.36,0.024,0.024,0.137,1012011,0,0,0,0,0,34,5,5,0,0
16,6,10,0.323,0.018,0.018,0,1211011,1.5,0.17,0.17,0,0,0,0,0,0,0
18,6,12,0.289,0.019,0.013,0,1211011,1.2,0.16,0.11,0,0,0,0,0,0,0
20,6,14,0.405,0.075,0.051,0,1211011,2.3,1,0.5,0,0,0,0,0,0,0
14,8,6,0,0,0,0.202,1211011,0,0,0,0,0,0,0,0,0,0
16,8,8,0.364,0.018,0.017,0.202,1211011,3.39,0.32,0.32,0,0,0,0,0,0,0
16,8,8,0.364,0.018,0.017,0.202,1012011,0,0,0,0,0,153,22,22,0,0
18,8,10,0.355,0.008,0.007,0.2129,1211011,3.22,0.14,0.14,0,0,0,0,0,0,0
18,8,10,0.355,0.008,0.007,0.2129,1012011,0,0,0,0.31,0.06,430,80,80,0.88,0.17
20,8,12,0.261,0.01,0.009,0.168,1211011,1.74,0.12,0.12,0,0,0,0,0,0,0
22,8,14,0.208,0.041,0.041,0.143,1211011,1.15,0.44,0.44,0,0,0,0,0,0,0
24,8,16,0.15,0.036,0.049,0,1211011,0.57,0.31,0.31,0,0,0,0,0,0,0
18,10,8,0.694,0.033,0.034,0.519,1211011,19.2,1.86,1.86,0,0,0,0,0,0,0
20,10,10,0.727,0.032,0.032,0.584,1211011,21.09,1.86,1.86,0,0,0,0,0,0,0
20,10,10,0.727,0.032,0.032,0.584,1012011,0,0,0,0.13,0.05,364,136,136,3.7,1.3
20,10,10,0.727,0.032,0.032,0.584,1013011,0,0,0,0.52,0.18,298,123,123,18,6
22,10,12,0.562,0.012,0.012,0.481,1211011,12.56,0.55,0.55,0,0,0,0,0,0,0
22,10,12,0.562,0.012,0.012,0.481,1012011,0,0,0,0,0,0,0,0,0,0
24,10,14,0.45,0.08,0.083,0.41,1211011,8.27,2.92,2.92,0,0,0,0,0,0,0
24,10,14,0.45,0.08,0.083,0.41,1012011,0,0,0,0,0,0,0,0,0,0
26,10,16,0.498,0.046,0.045,0.477,1211011,9.97,1.79,1.79,0,0,0,0,0,0,0
28,10,18,0.5,0.139,0.14,0.5,1211011,10.69,5.54,5.54,0,0,0,0,0,0,0
30,10,20,0.453,0.034,0.037,0,1211011,8.16,1.26,1.26,0,0,0,0,0,0,0
20,12,8,0.44,0.038,0.041,0,1211011,11.1,2,2,0,0,0,0,0,0,0
22,12,10,0.58,0.11,0.102,0.6,1211011,20.21,7.1,7.1,0,0,0,0,0,0,0
24,12,12,0.605,0.008,0.007,0.659,1211011,21.01,0.54,0.54,0,0,0,0,0,0,0
24,12,12,0.605,0.008,0.007,0.659,1012011,0,0,0,0.73,0.1,294,19,19,20,3
26,12,14,0.482,0.011,0.01,0.554,1211011,13.33,0.57,0.57,0,0,0,0,0,0,0
26,12,14,0.482,0.011,0.01,0.554,1012011,0,0,0,0.91,0.12,65,9,9,2.1,0.3
28,12,16,0.491,0.035,0.036,0.592,1211011,13.86,1.98,1.98,0,0,0,0,0,0,0
28,12,16,0.491,0.035,0.036,0.592,1012011,0,0,0,0,0,0,0,0,0,0
30,12,18,0.431,0.019,0.019,0.544,1211011,10.66,0.94,0.94,0,0,0,0,0,0,0
30,12,18,0.431,0.019,0.019,0.544,1012011,0,0,0,0,0,0,0,0,0,0
32,12,20,0.473,0.043,0.043,0.62,1211011,12.93,2.32,2.32,0,0,0,0,0,0,0
34,12,22,0.5529,0.037,0.04,0,1211011,17.52,2.42,2.42,0,0,0,0,0,0,0
36,12,24,0.5,0.06,0.06,0,1211011,14.3,3.7,3.2,0,0,0,0,0,0,0
24,14,10,0.245,0.037,0.042,0,1211011,4.7,1.5,1.5,0,0,0,0,0,0,0
26,14,12,0.446,0.022,0.021,0.598,1211011,15.56,1.49,1.49,0,0,0,0,0,0,0
26,14,12,0.446,0.022,0.021,0.598,1012011,0,0,0,0,0,0,0,0,0,0
28,14,14,0.407,0.007,0.008,0.572,1211011,12.91,0.48,0.48,0,0,0,0,0,0,0
28,14,14,0.407,0.007,0.008,0.572,1012011,0,0,0,0.119,0.017,262,31,31,0.91,0.13
30,14,16,0.315,0.008,0.007,0.465,1211011,7.77,0.36,0.36,0,0,0,0,0,0,0
30,14,16,0.315,0.008,0.007,0.465,1012011,0,0,0,0.32,0.04,15.8,2,2,0.41,0.05
32,14,18,0.217,0.032,0.033,0.33,1211011,3.75,1.09,1.09,0,0,0,0,0,0,0
32,14,18,0.217,0.032,0.033,0.33,1012011,0,0,0,0,0,0,0,0,0,0
34,14,20,0.179,0.036,0.036,0.29,1211011,2.6,1.01,1.01,0,0,0,0,0,0,0
36,14,22,0.259,0.042,0.042,0.43,1211011,5.38,1.7,1.7,0,0,0,0,0,0,0
38,14,24,0.249,0.047,0.048,0.43,1211011,5.01,1.85,1.85,0,0,0,0,0,0,0
40,14,26,0.37,0.048,0.058,0,1211011,10.6,3,3,0,0,0,0,0,0,0
28,16,12,0.265,0.022,0.022,0,1211011,7.2,1.2,1.2,0,0,0,0,0,0,0
30,16,14,0.338,0.022,0.021,0.57,1211011,11.7,1.48,1.48,0,0,0,0,0,0,0
32,16,16,0.312,0.007,0.006,0.549,1211011,9.94,0.43,0.43,0,0,0,0,0,0,0
32,16,16,0.312,0.007,0.006,0.549,1012011,0,0,0,0.044,0.008,19,5,5,0.047,0.009
34,16,18,0.252,0.007,0.007,0.461,1211011,6.48,0.37,0.37,0,0,0,0,0,0,0
34,16,18,0.252,0.007,0.007,0.461,1012011,0,0,0,0.055,0.009,11,3,3,0.093,0.015
36,16,20,0.168,0.024,0.023,0.32,1211011,2.95,0.79,0.79,0,0,0,0,0,0,0
36,16,20,0.168,0.024,0.023,0.32,1012011,0,0,0,0,0,0,0,0,0,0
38,16,22,0.246,0.016,0.016,0.485,1211011,6.19,0.79,0.79,0,0,0,0,0,0,0
40,16,24,0.284,0.015,0.016,0.579,1211011,8.22,0.89,0.89,0,0,0,0,0,0,0
42,16,26,0.3,0.023,0.023,0.632,1211011,9.23,1.38,1.38,0,0,0,0,0,0,0
44,16,28,0.254,0.038,0.038,0.55,1211011,6.72,1.95,1.95,0,0,0,0,0,0,0
44,16,28,0.254,0.038,0.038,0.55,1012011,0,0,0,0,0,0,0,0,0,0
32,18,14,0.261,0.032,0.036,0,1211011,8.8,2.3,2.3,0,0,0,0,0,0,0
34,18,16,0.238,0.02,0.02,0.489,1211011,7.34,1.22,1.22,0,0,0,0,0,0,0
36,18,18,0.256,0.013,0.012,0.548,1211011,8.5,0.85,0.85,0,0,0,0,0,0,0
38,18,20,0.163,0.006,0.006,0.361,1211011,3.43,0.26,0.26,0,0,0,0,0,0,0
38,18,20,0.163,0.006,0.006,0.361,1012011,0,0,0,0.81,0.12,18,3,3,0.51,0.08
40,18,22,0.251,0.015,0.016,0.575,1211011,8.12,0.99,0.99,0,0,0,0,0,0,0
40,18,22,0.251,0.015,0.016,0.575,1012011,0,0,0,0,0,0,0,0,0,0
42,18,24,0.275,0.033,0.032,0.65,1211011,9.92,2.31,2.31,0,0,0,0,0,0,0
44,18,26,0.24,0.015,0.014,0.588,1211011,7.48,0.89,0.89,0,0,0,0,0,0,0
46,18,28,0.175,0.018,0.017,0.442,1211011,4,0.8,0.8,0,0,0,0,0,0,0
48,18,30,0.228,0.018,0.02,0,1211011,6.7,1.1,1.1,0,0,0,0,0,0,0
38,20,18,0.125,0.014,0.014,0.309,1211011,2.53,0.55,0.55,0,0,0,0,0,0,0
40,20,20,0.123,0.011,0.01,0.314,1211011,2.44,0.42,0.42,0,0,0,0,0,0,0
40,20,20,0.123,0.011,0.01,0.314,1012011,0,0,0,0,0,25.6,0.7,0.7,0,0
42,20,22,0.247,0.008,0.009,0.649,1211011,9.69,0.69,0.69,0,0,0,0,0,0,0
42,20,22,0.247,0.008,0.009,0.649,1012011,0,0,0,0.92,0.08,140,12,12,0.089,0.008
44,20,24,0.253,0.005,0.005,0.687,1211011,10.19,0.43,0.43,0,0,0,0,0,0,0
44,20,24,0.253,0.005,0.005,0.687,1012011,0,0,0,0.54,0.09,140,50,50,0.23,0.04
46,20,26,0.153,0.005,0.006,0.427,1211011,3.72,0.27,0.27,0,0,0,0,0,0,0
48,20,28,0.106,0.018,0.019,0.3,1211011,1.83,0.62,0.62,0,0,0,0,0,0,0
48,20,28,0.106,0.018,0.019,0.3,1012011,0,0,0,0.95,0.04,14.5,0.9,0.9,0.0503,0.0019
50,20,30,0.0654,0.002,0.002,0,1211011,0.68,0.04,0.03,0,0,0,0,0,0,0
42,22,20,0.319,0.047,0.047,0.93,1211011,20.07,5.77,5.77,0,0,0,0,0,0,0
44,22,22,0.268,0.034,0.033,0.8,1211011,14.09,3.47,3.47,0,0,0,0,0,0,0
46,22,24,0.317,0.009,0.008,0.977,1211011,19.41,1.02,1.02,0,0,0,0,0,0,0
46,22,24,0.317,0.009,0.008,0.977,1012011,0,0,0,0,0,0,0,0,0,0
48,22,26,0.269,0.007,0.008,0.85,1211011,13.9,0.77,0.77,0,0,0,0,0,0,0
48,22,26,0.269,0.007,0.008,0.85,1012011,0,0,0,0,0,0,0,0,0,0
50,22,28,0.166,0.011,0.012,0.539,1211011,5.3,0.73,0.73,0,0,0,0,0,0,0
50,22,28,0.166,0.011,0.012,0.539,1012011,0,0,0,0,0,0,0,0,0,0
52,22,30,0.2331,0.005,0.005,0,1211011,10.46,0.5,0.41,0,0,0,0,0,0,0
54,22,32,0.175,0.014,0.015,0,1211011,5.9,1,1,0,0,0,0,0,0,0
56,22,34,0.221,0.034,0.04,0,1211011,9.4,3.1,3.1,0,0,0,0,0,0,0
58,22,36,0.18,0.05,0.059,0,1211011,6.3,3.9,3.5,0,0,0,0,0,0,0
46,24,22,0.288,0.029,0.033,0,1211011,19,4.1,4.1,0,0,0,0,0,0,0
48,24,24,0.337,0.027,0.026,1.17,1211011,26.25,4.05,4.05,0,0,0,0,0,0,0
50,24,26,0.293,0.009,0.008,1.042,1211011,19.74,1.1,1.1,0,0,0,0,0,0,0
52,24,28,0.223,0.006,0.005,0.814,1211011,11.45,0.52,0.52,0,0,0,0,0,0,0
54,24,30,0.25,0.006,0.006,0.935,1211011,14.35,0.66,0.66,0,0,0,0,0,0,0
54,24,30,0.25,0.006,0.006,0.935,1012011,0,0,0,0,0,0,0,0,0,0
56,24,32,0.195,0.031,0.037,0,1211011,8.7,3,3,0,0,0,0,0,0,0
58,24,34,0.24,0.015,0.016,0,1211011,13.2,1.7,1.7,0,0,0,0,0,0,0
60,24,36,0.263,0.016,0.019,0,1211011,15.8,2.1,2.1,0,0,0,0,0,0,0
62,24,38,0.312,0.02,0.022,0,1211011,22.3,3,3,0,0,0,0,0,0,0
64,24,40,0.299,0.036,0.041,0,1211011,20.5,5.2,5.2,0,0,0,0,0,0,0
50,26,24,0.308,0.032,0.035,0,1211011,25.6,5.5,5.5,0,0,0,0,0,0,0
52,26,26,0.23,0.014,0.015,0,1211011,14.2,1.8,1.8,0,0,0,0,0,0,0
54,26,28,0.195,0.008,0.008,0.789,1211011,10.23,0.83,0.83,0,0,0,0,0,0,0
54,26,28,0.195,0.008,0.008,0.789,1012011,0,0,0,0.8,0.14,240,0,240,0.43,0.08
56,26,30,0.2392,0.005,0.005,0.992,1011010,0.63,0,0,0,0,0,0,0,,
56,26,30,0.2392,0.005,0.005,0.992,10110.2110.45,0,0,0,0,0,0,0,0,,
58,26,32,0.2586,0.004,0.004,1.098,1211011,18,0.6,0.6,0,0,0,0,0,0,0
60,26,34,0.225,0.021,0.021,0.98,1211011,13.76,2.58,2.58,0,0,0,0,0,0,0
62,26,36,0.228,0.011,0.009,0,1211011,14,1.4,1.1,0,0,0,0,0,0,0
64,26,38,0.291,0.016,0.009,0,1211011,22.7,2.7,1.3,0,0,0,0,0,0,0
66,26,40,0.267,0.009,0.009,0,1211011,19.2,1.3,1.3,0,0,0,0,0,0,0
68,26,42,0.283,0.017,0.017,0,1211011,21.6,2.6,2.6,0,0,0,0,0,0,0
54,28,26,0.179,0.017,0.019,0,1211011,10,2,2,0,0,0,0,0,0,0
56,28,28,0.173,0.017,0.018,0.77,1211011,9.43,1.89,1.89,0,0,0,0,0,0,0
58,28,30,0.1828,0.003,0.003,0.836,1211011,10.42,0.3,0.3,0,0,0,0,0,0,0
58,28,30,0.1828,0.003,0.003,0.836,1012011,0,0,0,0.65,0.1,0.0063,0.001,0.001,0.53,0.09
58,28,30,0.1828,0.003,0.003,0.836,1013011,0,0,0,0.27,0.04,80,30,30,0.47,0.07
60,28,32,0.207,0.002,0.002,0.968,1211011,13.37,0.22,0.22,0,0,0,0,0,0,0
60,28,32,0.207,0.002,0.002,0.968,1012011,0,0,0,0.074,0.016,14,13,13,0.027,0.006
60,28,32,0.207,0.002,0.002,0.968,1013011,0,0,0,0.29,0.03,78,66,42,0.5,0.06
60,28,32,0.207,0.002,0.002,0.968,1014011,0,0,0,1.26,0.2,0.43,0.43,0,3.4,0.5
62,28,34,0.1978,0.003,0.003,0.946,1211011,12.21,0.34,0.34,0,0,0,0,0,0,0
62,28,34,0.1978,0.003,0.003,0.946,1012011,0,0,0,0.088,0.005,77,23,34,0.0321,0.0018
62,28,34,0.1978,0.003,0.003,0.946,1212011,0.57,0.1,0.16,0,0,0,0,0,0,0
62,28,34,0.1978,0.003,0.003,0.946,1212211,14.9,2.4,4.2,0.32,0.08,213,39,46,0.5,0.13
64,28,36,0.179,0.009,0.01,0.873,1211011,10,1.05,1.05,0,0,0,0,0,0,0
66,28,38,0.158,0.011,0.012,0.79,1211011,7.83,1.14,1.14,0,0,0,0,0,0,0
68,28,40,0.1,0.012,0.012,0.51,1211011,3.15,0.73,0.73,0,0,0,0,0,0,0
68,28,40,0.1,0.012,0.012,0.51,1012011,0,0,0,0,0,4.4,1,1,0,0
70,28,42,0.179,0.014,0.015,0,1211011,10,1.6,1.6,0,0,0,0,0,0,0
74,28,46,0.1493,0.023,0.029,0,1211011,6.96,2.34,2.45,0,0,0,0,0,0,0
60,30,30,0,0,0,1.116,1211011,0,0,0,0,0,0,0,0,0,0
62,30,32,0.218,0.008,0.008,1.116,1211011,17.01,1.24,1.24,0,0,0,0,0,0,0
64,30,34,0.242,0.012,0.011,1.27,1211011,21.04,1.97,1.97,0,0,0,0,0,0,0
64,30,34,0.242,0.012,0.011,1.27,1012011,0,0,0,6,0.5,3.8,0.4,0.4,2.25,0.19
64,30,34,0.242,0.012,0.011,1.27,1013011,0,0,0,0.027,0.006,15,7,7,0.031,0.007
66,30,36,0.218,0.008,0.008,1.164,1011010,1.26,0,0,0,0,0,0,0,,
66,30,36,0.218,0.008,0.008,1.164,101130130,0,0,0,0.365,0.175,0.365,0.009,0.047,,
66,30,36,0.218,0.008,0.008,1.164,1011010,0,0,0,0,0,0,1.2,4.9,,
68,30,38,0.205,0.012,0.013,1.11,1211011,15.04,1.82,1.82,0,0,0,0,0,0,0
68,30,38,0.205,0.012,0.013,1.11,1012011,0,0,0,0.19,0.04,7,4,4,0.033,0.007
70,30,40,0.228,0.165,0.165,1.27,1211011,53.69,1.63,1.63,0,0,0,0,0,0,0
70,30,40,0.228,0.165,0.165,1.27,1012011,0,0,0,0.045,0.009,1.8,0.4,0.4,0.0017,0.0004
72,30,42,0.2129,0.041,0.041,0,1211011,21.13,1.92,1.92,0,0,0,0,0,0,0
74,30,44,0.243,0.009,0.01,0,1211011,21.15,1.63,1.63,0,0,0,0,0,0,0
76,30,46,0.206,0.013,0.013,0,1211011,15.2,1.9,1.9,0,0,0,0,0,0,0
78,30,48,0.147,0.018,0.019,0,1211011,7.8,1.9,1.9,0,0,0,0,0,0,0
80,30,50,0.141,0.008,0.009,0,1211011,7.1,0.9,0.9,0,0,0,0,0,0,0
64,32,32,0.259,0.023,0.017,0,1211011,27.4,4.9,3.6,0,0,0,0,0,0,0
66,32,34,0.174,0.017,0.017,0.99,1211011,12.5,2.4,2.4,0,0,0,0,0,0,0
68,32,36,0.206,0.015,0.015,1.2,1211011,17.35,2.55,2.55,0,0,0,0,0,0,0
70,32,38,0.2245,0.003,0.003,1.33,1211011,20.54,0.47,0.47,0,0,0,0,0,0,0
70,32,38,0.2245,0.003,0.003,1.33,1012011,0,0,0,0.125,0.006,5.2,0.4,0.4,0.0038,0.0002
70,32,38,0.2245,0.003,0.003,1.33,1013011,0,0,0,0.35,0.07,0.75,0.75,0,0.2,0.05
70,32,38,0.2245,0.003,0.003,1.33,1013012,0,0,0,0.59,0.08,3.7,3.7,0,0.93,0.13
72,32,40,0.2424,0.003,0.003,1.463,1211011,23.94,0.67,0.67,0,0,0,0,0,0,0
72,32,40,0.2424,0.003,0.003,1.463,1012011,0,0,0,0,0,9.18,0.02,0.02,0,0
74,32,42,0.2825,0.003,0.003,1.737,1211011,32.51,0.65,0.65,0,0,0,0,0,0,0
74,32,42,0.2825,0.003,0.003,1.737,1012011,0,0,0,0.06,0.06,32,32,0,0.026,0.026
76,32,44,0.2623,0.004,0.004,1.641,1211011,28.03,0.84,0.84,0,0,0,0,0,0,0
78,32,46,0.2346,0.007,0.008,0,1211011,22.4,1.4,1.4,0,0,0,0,0,0,0
78,32,46,0.2346,0.007,0.008,0,1012011,0,0,0,0,0,0,0,0,0,0
80,32,48,0.183,0.016,0.019,0,1211011,13.6,2.6,2.6,0,0,0,0,0,0,0
82,32,50,0.167,0.01,0.01,0,1211011,11.4,1.4,1.4,0,0,0,0,0,0,0
68,34,34,0.236,0.016,0.017,0,1211011,25.6,3.5,3.5,0,0,0,0,0,0,0
70,34,36,0.309,0.033,0.033,1.94,1211011,44.35,9.34,9.34,0,0,0,0,0,0,0
72,34,38,0.224,0.014,0.013,1.44,1211011,23.27,2.81,2.81,0,0,0,0,0,0,0
72,34,38,0.224,0.014,0.013,1.44,1012011,0,0,0,0.6,0.4,29,18,18,0.006,0.004
74,34,40,0.3019,0.003,0.003,1.972,1211011,41.94,0.87,0.87,0,0,0,0,0,0,0
74,34,40,0.3019,0.003,0.003,1.972,1012011,0,0,0,0.203,0.014,23.1,2.2,2.2,0.0105,0.0048
76,34,42,0.309,0.004,0.004,2.055,1211011,43.93,1.05,1.05,0,0,0,0,0,0,0
76,34,42,0.309,0.004,0.004,2.055,1012011,0,0,0,0.134,0.015,34,12,12,0.026,0.003
78,34,44,0.2712,0.004,0.004,1.835,1211011,33.85,0.91,0.91,0,0,0,0,0,0,0
78,34,44,0.2712,0.004,0.004,1.835,1012011,0,0,0,0,0,0,0,0,0,0
80,34,46,0.2318,0.003,0.003,1.595,1211011,24.71,0.59,0.59,0,0,0,0,0,0,0
80,34,46,0.2318,0.003,0.003,1.595,1012011,0,0,0,0,0,0,0,0,0,0
82,34,48,0.1934,0.003,0.003,1.353,1211011,17.2,0.47,0.47,0,0,0,0,0,0,0
82,34,48,0.1934,0.003,0.003,1.353,1012011,0,0,0,0,0,0,0,0,0,0
84,34,50,0.145,0.001,0.002,0,1211011,9.61,0.14,0.14,0,0,0,0,0,0,0
72,36,36,0.319,0.021,0.023,0,1211011,52.4,7.2,7.2,0,0,0,0,0,0,0
72,36,36,0.319,0.021,0.023,0,1012011,0,0,0,0,0,71,6,6,0,0
74,36,38,0.419,0.025,0.025,2.9,1211011,91.04,10.84,10.84,0,0,0,0,0,0,0
74,36,38,0.419,0.025,0.025,2.9,1012011,0,0,0,1.9,0.5,113,27,27,0.017,0.004
76,36,40,0.409,0.006,0.006,2.878,1211011,86.18,2.51,2.51,0,0,0,0,0,0,0
78,36,42,0.352,0.011,0.011,2.52,1211011,63.95,3.94,3.94,0,0,0,0,0,0,0
78,36,42,0.352,0.011,0.011,2.52,1012011,0,0,0,0.136,0.006,47,13,13,0.024,0.001
80,36,44,0.265,0.007,0.008,1.93,1211011,36.14,2.05,2.05,0,0,0,0,0,0,0
80,36,44,0.265,0.007,0.008,1.93,1012011,0,0,0,0.103,0.011,21,10,10,0.023,0.003
82,36,46,0.2021,0.005,0.005,1.497,1211011,21.08,0.95,0.95,0,0,0,0,0,0,0
82,36,46,0.2021,0.005,0.005,1.497,1012011,0,0,0,0.087,0.008,7.3,2.3,2.3,0.0174,0.0016
82,36,46,0.2021,0.005,0.005,1.497,1013011,0,0,0,0.14,0.04,7,1,1,0.1,0.03
84,36,48,0.1489,0.004,0.004,1.121,1211011,11.44,0.55,0.55,0,0,0,0,0,0,0
84,36,48,0.1489,0.004,0.004,1.121,1012011,0,0,0,0,0,0,0,0,0,0
86,36,50,0.145,0.006,0.006,1.107,1211011,10.82,0.89,0.89,0,0,0,0,0,0,0
88,36,52,0.12222,0.006,0.007,0,1211011,7.7,0.8,0.8,0,0,0,0,0,0,0
90,36,54,0.1577,0.115,0.036,0,1211011,12.83,25.66,5.14,0,0,0,0,0,0,0
92,36,56,0.1805,0.003,0.003,0,1211011,16.81,0.57,0.57,0,0,0,0,0,0,0
94,36,58,0.194,0.011,0.011,0,1211011,19.5,2.2,2.2,0,0,0,0,0,0,0
96,36,60,0.254,0.026,0.028,0,1211011,33.4,7.1,7.1,0,0,0,0,0,0,0
76,38,38,0.443,0.031,0.026,0,1211011,113,16,13,0,0,0,0,0,0,0
78,38,40,0.435,0.03,0.031,3.29,1211011,109.11,15.16,15.16,0,0,0,0,0,0,0
